"Phase","Taxon","Degree","Betweenness","Closeness","Eigenvector","Hub_Score"
"Post-Mission","ASV_89",51,3230.4842274268,0.000503018108651912,0.0355640973795542,0.0355640973795541
"Post-Mission","ASV_313",62,3112.32816400265,0.000491159135559921,0.0673506104417459,0.0673506104417457
"Post-Mission","ASV_187",64,3028.52186752629,0.000497512437810945,0.0208245053860246,0.0208245053860247
"Post-Mission","ASV_647",102,3021.64167042098,0.000555555555555556,0.0630247654566288,0.063024765456629
"Post-Mission","ASV_210",117,2844.18248148647,0.000573394495412844,0.20591287277906,0.205912872779061
"Post-Mission","ASV_12",49,2835.25792709914,0.000530503978779841,0.0189419499243001,0.0189419499243001
"Post-Mission","ASV_69",60,2788.67630599332,0.000534188034188034,0.287816419465584,0.287816419465584
"Post-Mission","ASV_165",69,2760.99283086176,0.000554631170271769,0.370492428450064,0.370492428450064
"Post-Mission","ASV_141",75,2713.33887211738,0.000521648408972353,0.0580161204860881,0.0580161204860883
"Post-Mission","ASV_37",104,2707.96767323442,0.000555864369093941,0.615075059070959,0.615075059070959
"Post-Mission","ASV_389",51,2707.03437495422,0.000482160077145612,0.0650773546964483,0.0650773546964482
"Post-Mission","ASV_184",77,2702.63345011316,0.000512820512820513,0.0105519617322169,0.0105519617322166
"Post-Mission","ASV_245",83,2663.96068306737,0.000547645125958379,0.058331068495365,0.0583310684953652
"Post-Mission","ASV_142",70,2654.80685086615,0.00048780487804878,0.00800802709546299,0.00800802709546288
"Post-Mission","ASV_493",46,2560.3684172358,0.000470145745181006,0.0150124820641905,0.0150124820641904
"Post-Mission","ASV_366",105,2472.35713711867,0.000575373993095512,0.548216450735097,0.548216450735097
"Post-Mission","ASV_242",36,2434.49492445833,0.00048780487804878,0.0261337995579629,0.0261337995579628
"Post-Mission","ASV_162",58,2429.36919176465,0.000524658971668416,0.349239444309623,0.349239444309623
"Post-Mission","ASV_920",134,2377.56385641616,0.000574712643678161,0.828027488369596,0.828027488369596
"Post-Mission","ASV_87",72,2355.88114533727,0.000539374325782093,0.0413914619750564,0.0413914619750564
"Post-Mission","ASV_99",72,2355.88114533727,0.000539374325782093,0.0413914619750565,0.0413914619750564
"Post-Mission","ASV_38",56,2355.30053489862,0.000492368291482029,0.0164225416902173,0.0164225416902175
"Post-Mission","ASV_946",40,2302.89508600347,0.0005005005005005,0.0284623729894186,0.0284623729894185
"Post-Mission","ASV_434",95,2274.73023649105,0.000555864369093941,0.174865023702325,0.174865023702325
"Post-Mission","ASV_646",36,2213.69231934282,0.000448028673835125,0.00240007573073486,0.00240007573073477
"Post-Mission","ASV_192",109,2111.80399930431,0.000563380281690141,0.771197943843432,0.771197943843431
